
"17600",No Record,No Record,No Record,No Record,No Record
"99658",No Record,No Record,No Record,No Record,No Record
"55303","Krypton St NW, Ramsey, Anoka County","Minnesota","United States","us","45.2527934949238,-93.4144920763495"
"27800",No Record,No Record,No Record,No Record,No Record
"50311","Forest Oak Apartments, 3432, Forest Avenue, University Terrace Apartments, Des Moines, Polk County","Iowa","United States","us","41.602828,-93.6654827033485"
"63348","2710, Meyer Road, Foristell, Saint Charles County","Missouri","United States of America","us","38.8187312124473,-90.9258017094292"
"71646","895, West Washington Street, Hamburg, Ashley County","Arkansas","United States","us","33.2281035916354,-91.8120521665088"
"17970","19, South 3rd Street, St. Clair, Schuylkill County","Pennsylvania","United States","us","40.7183059392736,-76.1902014577461"
"90720","3699, Thor Avenue, Los Alamitos, Orange County","California","United States","us","33.7964906132417,-118.068415480092"
"72843","Llewellyn Loop, Walnut Grove, Pope County","Arkansas","United States","us","35.4535769019591,-92.9544770986746"
"25043","Cemetery Road, Clay, Clay County","West Virginia","United States of America","us","38.4651418115761,-81.0810163588513"
"17941","Mahantongo Mountain Road, Upper Mahantango Township, Schuylkill County","Pennsylvania","United States","us","40.6759533907545,-76.6211915595717"
"72730","237, South Angus Lane, Farmington, Washington County","Arkansas","United States","us","36.0348711089309,-94.254407941819"
"15442","Redstone Township, Fayette County","Pennsylvania","United States","us","40.0128833698781,-79.8366717792751"
"52172","941, Countryside Drive Southwest, Waukon, Allamakee County","Iowa","United States","us","43.2627651443107,-91.4897783421127"
"49320","10783, Cutler Street, Chippewa Lake, Chippewa Township, Mecosta County","Michigan","United States of America","us","43.7423192063703,-85.2988207640825"
"55703","Saint Louis County","Minnesota","United States","us","47.7078432042486,-92.6882370917069"
"17566","406, Park Avenue, Quarryville, Lancaster County","Pennsylvania","United States of America","us","39.8918368614553,-76.1589228013816"
"83230",No Record,No Record,No Record,No Record,No Record
"63301","1198, Black Forest Drive, Saint Charles, Saint Charles County","Missouri","United States","us","38.817402105529,-90.4983583618847"
"93790",No Record,No Record,No Record,No Record,No Record
"87420","Diné College - Shiprock Branch North Campus, 1228, Yucca Drive, Shiprock, San Juan County","New Mexico","United States","us","36.8049326686482,-108.694852596142"
"74601","798, North Oak Street, Ponca City, Kay County","Oklahoma","United States","us","36.7114983185314,-97.0877664023915"
"63566","Lama Road, North Salem, Linn County","Missouri","United States","us","40.0234092963329,-92.9131313542726"
"17547","156, Chelmsford Drive, Maytown, Lancaster County","Pennsylvania","United States","us","40.0673697537064,-76.5725827483735"
"97601","125, North 8th Street, Klamath Falls, Klamath County","Oregon","United States","us","42.2263391743024,-121.781855304074"
"60031","Warren Township Park, North Almond Road, Gages Lake, Lake County","Illinois","United States","us","42.3625346704832,-87.9785229359433"
"21410",No Record,No Record,No Record,No Record,No Record
"97526","1638, Northwest Highland Avenue, Grants Pass, Josephine County","Oregon","United States of America","us","42.4571817992433,-123.333157950449"
"40965","562, North 24th Street, Middlesborough, Bell County","Kentucky","United States","us","36.6118390316052,-83.7212359944093"
"56359","Lake Onamia, Emmons Road, Onamia, Mille Lacs County","Minnesota","United States","us","46.0869016042707,-93.6758886370013"
"63357","Dutzow, Warren County","Missouri","United States","us","38.6539765944759,-90.9908962564188"
"24631","Keen Mountain Correctional Center, State Route 800, Roth, Buchanan County","Virginia","United States","us","37.2234059575119,-81.9797293019284"
"17737","Beaver Lake Road, Beaver Lake, Lycoming County","Pennsylvania","United States","us","41.2583765574836,-76.7003230459517"
"17201","Chambersburg Area Senior High School, 511, South 6th Street, Chambersburg, Franklin County","Pennsylvania","United States","us","39.9283601400854,-77.6531843794092"
"92339","Forest Falls, San Bernardino County","California","United States","us","34.0783641923905,-116.919885056353"
"71935","Hopper, Montgomery County","Arkansas","United States","us","34.3753275800899,-93.660986737731"
